Comment,Designator,Footprint,LCSC Part #
,HTBT LED1 LED2 LED3 LED4,CHIPLED_1206,C93133
+12v,U1 U2,TO-252,C58069
0.1uF,C2 C4 C5 C6 C7 C8 C13,C1206,C24497
1.5k,R3 R9 R10 R11 R12 R14 R15 R16 R17 R19 R20 R21 R22 R24 R25 R36 R37 R38 R39 R40 R41,M1206,C237775
1uF,C1 C3 C9 C10 C11 C12 C14 C15,C1206,C1848
3.3k,R8 R13 R18 R23 R26 R30 R31 R32 R33 R34 R35,M1206,C26032
220mA/50V/3.5O,Q5 Q6 Q7 Q8 Q9 Q10,SOT23-3,C2938375
330,R2 R7 R27 R28 R29,M1206,C114944
