Comment,Designator,Footprint,LCSC Part #
,LED1 LED2 LED3 LED4,CHIPLED_1206,C93133
+12v,U1,TO-252,C58069
0.1uF,C2 C4 C6 C8 C10 C12 C14 C16,C1206,C24497
1uF,C1 C3 C5 C7 C9 C11 C13 C15,C1206,C1848
330,R1,R1206,C114944
