Comment,Designator,Footprint,LCSC Part #
0,R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35,M1206,C17888
0.1uF,C1 C2 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16,C1206,C82601
1uF,C3 C4,C1206K,C1848
10k,R3 R4 R5 R6 R7 R8 R9 R10,M1206,C17902
74LS14D,IC1 IC2,SO14,C7653
SN74HC165DR,IC4,SO16,C5613
